serial no,Registration Number,Date of Grant,Name Factory Address,IS NO,Product,Status,Valid Upto,Models deleted from scope,Brand,View Models
39,R-41073482,22-Sep-2017,"ZktecoCo.,LtdNO.26,PINGSHAN188INDUSTRYZONE,TANGXIATOWN,DONGGUANCITY,GUANGDONG,China",IS13252(Part1):2010/IEC60950-1:2005,AccessControlTerminal(Scanners),Deferred,21-Sep-2019,-,eSSL,"F09,F19,F18(followingmodelsincludedon07Feb2019)MB20,G3Plus,FR1500(followingmodelsincludedon07Feb2019)SilkBio-101TC,X7(followingmodelsincludedon11Feb2019)F22,FR1300,F12(followingmodelsincludedon22Feb2019)SA33-E/M,SA32-E/M,KR503E/M,KR500E/M(followingmodelsincludedon27Feb2019)SF100"
40,R-41093823,03-Jul-2018,"AccessLtd.UNIT18SUTTONSBUSINESSPARKSUTTONPARKAVENUEREADINGRG61AZ,BERKSHIRE,UnitedKingdom",IS13252(Part1):2010/IEC60950-1:2005,ACCESSKEYBOARDWITHINTEGRATEDMSRANDOCR(ADPM),Operative,02-Jul-2022,-,ACCESSIS,AKB500
41,R-41009288,10-Jul-2014,DATALOGICAUTOMATIONSRLCONTRADACONTROFINO-CASTIGLIONEMESSERRAIMONDOTERAMO-64034ITALY,IS13252(Part1):2010/IEC60950-1:2005,ACCESSORYBARCODESCANNER(SCANNERS),Cancelledw.e.f.01Nov2017,01-Nov-2017,,DATALOGIC,"AL5010(LASERBARCODESCANNER),DX8200A-3010,DX8200A-3130,DX8200A-3120,DX8200A-3110,DX8200A-3030,DX8200A-3020,DX8200A-3230,DX8200A-3220,DX8200A-3210,DX8200A-3002,DX8100A-3105,DX8100A-3100,DX8100A-3110,DX8100A-3120,DX8100A-3130,DX8100A-3115,DX8100A-3025,DX8100-A3035,DX8100A-2010,DX8100A-3002,DS2100N-1204,DS2100N-1200,DS2100N-2200,DS2100N-2204,DS2100N-1210,DS2100N-2210,DS2100N-1214,DS2100N-2214,DS2400N-2205,DS2400N-0200,DS2400N-1200,DS2400N-2200,DS2400N-0210,DS2400N-1210,DS2400N-2210,DS2400N-0205,DS2400N-0215,DS2400N-1215,DS1100-1100,DS1100-1101,DS1100-1110,DS-1100-1111,DS1100-2100,DS1100-2101,DS1100-2110,DS1100-2111,DS1100-2011080,DS6300-105-010,DS6300-100-012,DS6300-100-011,DS6300-105-012,DS6300-105-011,DS6300-100-010,DS4800-1105,DS4800-1000,DS4800-1005,DS4800-1100,DS4800-1010,DS4800-1015,DS4800-1020,DS4800-1025,DS2200-1100,DS2200-1110,DS2200-2100,DS2200-2110(ACCESSORYBARCODESCANNERS)(followingmodelsincludedon13Jan2016)DX8210-4100,DX8210-2100,DX8210-4200,DS2100N-1300,DS2100N-1304,DS2100N-1310,DS2100N-1314,DS2100N-1400,DS2100N-1404,DS2100N-1410,DS2100N-1414,DS8110-2100,DS8110-2200,DS2400N-1300,DS2400N-1300,DS2400N-1310,DS2400N-1400,DS2400N-1410,DS2400N-2300,DS2400N-2310,DS2400N-2400,DS2400N-2410"
42,R-41142964,13-Nov-2019,"ShenzhenHongguanfaElectronicTechnologyCo.,Ltd.3/F&4/FBUILDING2JINFENGINDUSTRIALZONE,NO.45YONGHEROADHEPINGCOMMUNITY,FUHAISTREET,BAOANDISTRICT,SHENZHENCITY.518100",IS13252(PART1):2010,AC/DCADAPTER,Operative,12-Nov-2021,-,evolute,F015W-050300BIS
43,R-41012114,03-Feb-2015,"DONGGUANCITYYINGJUELECTRONICSCO.,LTD.NO.6YONGXINGROAD,SHAYAOVILLAGE,SHIJIETOWN,DONGGUANCITY,GUANGDONGPROVINCE523292,CHINA",IS616:2010,AC/DCADAPTER(POWERADAPTOR),Operative,02-Feb-2021,,SAMSUNG,A4514_DSM(followingmodelsincludedon23Apr2015)A6324_DSM(Changeovertorevisedversionforthefollowingmodelsdonew.e.f.05Oct2018)A4514_DSM
44,R-41040770,04-Jun-2016,"UnifiveTechnology(Shenzhen)Co.,Ltd.ROOM101,201,301,E,DATIANYANGINDUSTRIALZONEOFLONGMEN,SONGGANGTOWN,BAOAN,SHENZHEN518105,CHINA",IS616:2010,AC/DCAdaptor,Operative,03-Jun-2020,-,UNIFIVE,UIA324-1220(Changeovertorevisedversionforthefollowingmodelsdonew.e.f.04Sep2018)UIA324-1220
45,R-41026034,17-Nov-2015,"DongYangE&PVietnamCo.Ltd.NHANHOAWARD,MYHAODISTRICT,HUNGYENPROVINCE,VIETNAMVietnam",IS616:2010,"AC/DCPowerAdapterforAudio,Video&SimilarElectronicApparatus",Operative,16-Nov-2019,,Samsung,"A4819N_FDY(followingmodelsincludedon06Dec2016)A7819_KDY,A7819_KDYW(Changeovertorevisedversionforthefollowingmodelsdonew.e.f.31Aug2018)A4819N_FDY,A7819_KDY,A7819_KDYW(followingmodelsincludedon30Oct2019)A5919N_RDY,A5919N_RDYW(followingmodelsincludedon04Nov2019)A4819N_RDY,A4819N_RDYW"
46,R-41024988,27-Oct-2015,"M/SCompalElectronicsTechnology(Kunshan)Co.Ltd.M/SCOMPALELECTRONICSTECHNOLOGY(KUNSHAN)CO.LTD.,NO.25,THIRDAVENUE.AZONE,KUNSHANCOMPREHENSIVEFREETRADE,KUNSHAN,JIANGSU,CHINA215300",IS13252(Part1):2010/IEC60950-1:2005,AcerMobilesModelNo-T02,Expired,26-Oct-2017,,ACER,T02
47,R-41038407,16-May-2016,"PORTWELLINC.2,4,5,6,7,10F.,NO.242BO'AIST.,SHULINDIST.,NEWTAIPEICITY238,TAIWAN.(R.O.C)",IS13252(Part1):2010/IEC60950-1:2005,AchillesIndustrialNextGenFirewall3000(ADP,Operative,15-May-2020,-,WurldtechSecurityTechnologies,Achilles-NGFW-3000-8-R1B
48,R-41024970,17-Oct-2015,"ZhongshanGendingLightingCo.Ltd.ONEOFBUILDING3,NO-19,FUQINGSECONDROAD,SHUIXINGINDUSTRIALPARK,HENGLANTOWN,ZHONGSHANCITYGUANGDONGChina528400",IS10322(Part5/Sec1):2012,ACK,Operative,16-Oct-2021,,ACK,"RD-18W,SQ-18W,RD12W,SQ12W,RD-6W,SQ-6W,RD-3W,SQ-3W"
